H3,H4,H3,H4,L2
H5,H5,R,L3,L4
L1,L3,W,H2,L3
L3,L3,L4,L2,L3
L3,H2,L1,L1,H5
L1,L4,H4,L4,L2
H3,H3,L1,H2,H5
W,H1,R,H5,L3
L4,L2,L2,H1,L1
L1,H3,H5,H4,H1
L2,L3,L2,H5,L3
L4,H4,L2,L4,L3
H4,H1,H1,H2,L1
L4,L4,L3,L3,H5
L3,H2,H5,H3,L3
L1,L2,L3,L4,H4
H4,L3,L3,L1,W
H2,L3,L2,L3,L3
H5,H5,L2,L1,L1
L3,L3,L2,H5,L4
L1,L4,L2,L4,L1
W,L3,L4,H3,H5
L1,H2,L3,L4,H5
L4,H5,L4,L2,L4
L2,H5,H5,L2,L3
R,L2,L2,L3,L3
H5,L3,H3,L3,L3
L3,L4,L2,L4,L1
H3,L3,H4,L3,L2
L2,H2,L2,L3,L3
W,L3,H5,W,L4
L4,L4,L2,H3,H2
L4,L2,L1,L3,H3
L1,H3,H1,L1,R
L2,H4,L4,L4,H5
L1,L4,L1,H4,R
W,H4,L4,H3,L4
L1,L2,L2,L2,L2
L3,H2,R,L2,L4
H3,L3,L2,H2,L2
L4,L3,L2,L3,W
L2,L3,L3,W,L2
L2,L4,L3,L3,H3
L1,L3,H4,H1,L4
L3,H5,L3,L2,L2
H4,L3,L4,L4,L1
H2,L3,H4,H5,L1
R,L3,L3,L4,H3
H5,H1,L3,H5,L4
H4,H3,H1,L3,W
L4,H2,L3,L2,H3
L3,L2,L2,H5,H2
L4,H5,L4,L3,L4
L3,H3,H5,L2,L4
L1,L1,L3,L2,L3
L4,H4,H5,L1,L4
L3,L3,L2,L3,W
L2,W,L1,H4,L2
L4,H2,H2,L4,L3
W,H3,L2,H2,L1
L2,H1,L4,H2,L4
L1,L3,L1,L2,L3
L4,L1,L2,L3,L1
L3,L3,H5,L1,L3
W,L4,L2,L4,L2
L3,L2,L2,L3,H3
H5,L2,L1,H3,H4
H4,H1,L3,H4,H5
H3,L1,H4,H4,L4
L3,H3,L2,H5,L4
L4,H4,H5,L4,H5
H3,L1,S,L1,H1
H2,L4,H3,H4,H3
L3,L3,L3,L4,L2
L2,H5,L4,L2,L3
L1,L4,L3,L1,L3
L3,L1,H5,L1,H5
W,L4,H5,L4,L3
L3,H1,L2,L1,L2
W,L4,H5,H2,L4
L2,H5,L1,L1,H3
L3,L1,H5,H1,H4
L4,L3,L4,L2,L1
H3,W,H5,L3,L1
W,H4,L4,L2,H5
L2,W,L3,L2,L2
L4,L1,H4,L4,L4
L4,H4,L2,H4,L3
L2,L4,L3,H3,H2
L1,L3,L3,H1,L4
L3,L1,L4,H3,L4
L1,W,L3,H5,H1
L3,L4,H5,L2,L3
H2,H3,H3,L3,H4
L1,H1,H3,L3,L3
L3,L3,L4,H1,L1
L4,H5,H4,L4,L4
W,L3,L3,W,H4
L4,H3,L3,L1,R
L4,L2,L1,L4,L4
L1,L3,L3,L3,L4
L3,H5,H3,L4,H4
H2,H1,L1,L4,L1
H5,L2,L1,L1,L3
L2,L3,L1,H4,L1
H4,W,H3,L3,L2
L3,L4,L4,L2,H4
L3,L3,L4,L2,L4
L2,H2,H5,L4,H3
H2,H5,L4,R,H3
L3,L4,L2,H3,L1
H2,L2,W,H1,L4
H5,H4,S,L3,L3
L1,L1,H5,L2,H5
L1,H5,L2,L2,H2
L4,L4,L4,L4,L2
L1,L2,L2,H5,L2
L3,H2,H4,L2,L4
H5,L4,L4,L4,L1
L2,H5,H5,L3,W
H1,H3,L3,L4,W
L4,H3,H1,L2,H4
L1,L3,H3,L4,H4
L2,H1,H5,L4,L3
H3,L3,H5,L1,L3
L4,H1,L1,H5,L2
L1,H5,L3,H5,L4
H1,L2,W,L3,L1
L4,L4,H4,L2,H4
L1,L2,L2,H5,L3
H1,H1,L2,L2,L1
L3,L1,L3,L4,L3
L2,L1,L1,L4,L2
L3,L4,L3,L4,H2
L2,L1,H3,L1,L4
H2,L3,L4,L3,L1
L3,W,L2,L2,L3
L2,L2,L1,L4,L3
L1,H5,H5,L2,L2
H1,L2,W,L2,L4
L3,R,R,L2,L1
L2,H3,L2,W,L3
L1,L4,H3,L1,H5
L3,L3,S,L4,L4
L3,H4,L4,H1,L4
L1,L2,L1,L2,L2
L2,L1,H3,L3,W
W,H4,H3,L1,L1
L1,L4,H4,L4,L2
L3,L1,L1,H1,L2
L4,L3,L3,L3,L3
L3,H5,H4,L4,H4
H4,L1,L4,L4,L3
L3,L2,L3,H2,L2
H1,L1,L4,L1,H2
L2,H5,M,H5,H3
L2,H3,L3,R,H5
H5,L2,H3,L3,L1
L4,L4,L1,L3,L2
H4,H2,H4,L3,L1
L3,L1,S,L3,R
L2,H4,L1,H1,L1
L2,H3,L4,H2,L2
H5,L2,R,L2,L2
L4,L2,L1,L1,L1
H5,H1,L3,W,H5
W,L1,L3,L4,L2
H4,L4,H1,H5,L3
L1,L3,W,L4,L3
L1,W,L2,L4,R
R,R,L4,L2,L1
L1,L4,L2,L4,L3
H5,H4,M,L2,L3
H5,L1,H2,H4,H4
L2,L2,H5,L4,H5
L3,H4,L4,W,L4
L3,L2,L1,L1,L4
H1,L2,L4,L2,L2
L1,H1,L3,L4,L2
